=== EMOJI SCAN RESULTS ===
EMOJI: ‍ | HEX: \U0000200D | NAME: ZERO WIDTH JOINER | FILES: 1 (services\spawn_service.py)
EMOJI: ➡ | HEX: \U000027A1 | NAME: BLACK RIGHTWARDS ARROW | FILES: 3 (handlers\battle.py, handlers\profile.py, handlers\trade.py)
EMOJI: ➩ | HEX: \U000027A9 | NAME: RIGHT-SHADED WHITE RIGHTWARDS ARROW | FILES: 2 (handlers\profile.py, handlers\start.py)
EMOJI: ⬅ | HEX: \U00002B05 | NAME: LEFTWARDS BLACK ARROW | FILES: 2 (handlers\battle.py, handlers\profile.py)
EMOJI: ⬜ | HEX: \U00002B1C | NAME: WHITE LARGE SQUARE | FILES: 1 (handlers\xo.py)
EMOJI: ⭐ | HEX: \U00002B50 | NAME: WHITE MEDIUM STAR | FILES: 3 (handlers\battle.py, utils\emoji_patch.py, services\spawn_service.py)
EMOJI: ⭕ | HEX: \U00002B55 | NAME: HEAVY LARGE CIRCLE | FILES: 1 (handlers\xo.py)
EMOJI: 「 | HEX: \U0000300C | NAME: LEFT CORNER BRACKET | FILES: 2 (handlers\profile.py, handlers\start.py)
EMOJI: 」 | HEX: \U0000300D | NAME: RIGHT CORNER BRACKET | FILES: 2 (handlers\profile.py, handlers\start.py)
EMOJI: ️ | HEX: \U0000FE0F | NAME: VARIATION SELECTOR-16 | FILES: 20 (handlers\admin.py, handlers\battle.py, handlers\catch.py)
EMOJI: 🆔 | HEX: \U0001F194 | NAME: SQUARED ID | FILES: 3 (handlers\admin.py, handlers\profile.py, handlers\start.py)
EMOJI: 🌀 | HEX: \U0001F300 | NAME: CYCLONE | FILES: 4 (handlers\admin.py, handlers\profile.py, utils\emoji_patch.py)
EMOJI: 🌌 | HEX: \U0001F30C | NAME: MILKY WAY | FILES: 4 (handlers\profile.py, handlers\start.py, utils\emoji_patch.py)
EMOJI: 🌍 | HEX: \U0001F30D | NAME: EARTH GLOBE EUROPE-AFRICA | FILES: 2 (handlers\profile.py, handlers\start.py)
EMOJI: 🌟 | HEX: \U0001F31F | NAME: GLOWING STAR | FILES: 4 (handlers\catch.py, handlers\mines.py, handlers\profile.py)
EMOJI: 🌱 | HEX: \U0001F331 | NAME: SEEDLING | FILES: 1 (database\database.py)
EMOJI: 🌲 | HEX: \U0001F332 | NAME: EVERGREEN TREE | FILES: 4 (handlers\admin.py, handlers\catch.py, handlers\start.py)
EMOJI: 🌳 | HEX: \U0001F333 | NAME: DECIDUOUS TREE | FILES: 2 (handlers\start.py, services\spawn_service.py)
EMOJI: 🍀 | HEX: \U0001F340 | NAME: FOUR LEAF CLOVER | FILES: 2 (handlers\catch.py, handlers\shop.py)
EMOJI: 🎁 | HEX: \U0001F381 | NAME: WRAPPED PRESENT | FILES: 7 (handlers\games.py, handlers\profile.py, handlers\redeem.py)
EMOJI: 🎉 | HEX: \U0001F389 | NAME: PARTY POPPER | FILES: 10 (handlers\catch.py, handlers\games.py, handlers\redeem.py)
EMOJI: 🎒 | HEX: \U0001F392 | NAME: SCHOOL SATCHEL | FILES: 2 (handlers\profile.py, handlers\start.py)
EMOJI: 🎡 | HEX: \U0001F3A1 | NAME: FERRIS WHEEL | FILES: 2 (handlers\games.py, utils\emoji_patch.py)
EMOJI: 🎥 | HEX: \U0001F3A5 | NAME: MOVIE CAMERA | FILES: 2 (handlers\admin.py, handlers\profile.py)
EMOJI: 🎦 | HEX: \U0001F3A6 | NAME: CINEMA | FILES: 2 (handlers\catch.py, handlers\profile.py)
EMOJI: 🎨 | HEX: \U0001F3A8 | NAME: ARTIST PALETTE | FILES: 2 (handlers\admin.py, handlers\start.py)
EMOJI: 🎫 | HEX: \U0001F3AB | NAME: TICKET | FILES: 3 (handlers\admin.py, handlers\redeem.py, handlers\start.py)
EMOJI: 🎬 | HEX: \U0001F3AC | NAME: CLAPPER BOARD | FILES: 2 (handlers\admin.py, handlers\profile.py)
EMOJI: 🎭 | HEX: \U0001F3AD | NAME: PERFORMING ARTS | FILES: 1 (handlers\admin.py)
EMOJI: 🎮 | HEX: \U0001F3AE | NAME: VIDEO GAME | FILES: 2 (handlers\games.py, handlers\start.py)
EMOJI: 🎯 | HEX: \U0001F3AF | NAME: DIRECT HIT | FILES: 1 (handlers\catch.py)
EMOJI: 🎰 | HEX: \U0001F3B0 | NAME: SLOT MACHINE | FILES: 2 (handlers\games.py, utils\emoji_patch.py)
EMOJI: 🎱 | HEX: \U0001F3B1 | NAME: BILLIARDS | FILES: 2 (utils\emoji_patch.py, utils\formatters.py)
EMOJI: 🎲 | HEX: \U0001F3B2 | NAME: GAME DIE | FILES: 1 (handlers\xo.py)
EMOJI: 🏁 | HEX: \U0001F3C1 | NAME: CHEQUERED FLAG | FILES: 1 (handlers\battle.py)
EMOJI: 🏃 | HEX: \U0001F3C3 | NAME: RUNNER | FILES: 2 (handlers\start.py, services\spawn_service.py)
EMOJI: 🏆 | HEX: \U0001F3C6 | NAME: TROPHY | FILES: 7 (handlers\battle.py, handlers\games.py, handlers\mines.py)
EMOJI: 🏓 | HEX: \U0001F3D3 | NAME: TABLE TENNIS PADDLE AND BALL | FILES: 3 (handlers\profile.py, handlers\start.py, utils\streak.py)
EMOJI: 🏷 | HEX: \U0001F3F7 | NAME: LABEL | FILES: 1 (handlers\start.py)
EMOJI: 👉 | HEX: \U0001F449 | NAME: WHITE RIGHT POINTING BACKHAND INDEX | FILES: 10 (handlers\admin.py, handlers\battle.py, handlers\catch.py)
EMOJI: 👑 | HEX: \U0001F451 | NAME: CROWN | FILES: 5 (handlers\admin.py, handlers\start.py, utils\emoji_patch.py)
EMOJI: 👤 | HEX: \U0001F464 | NAME: BUST IN SILHOUETTE | FILES: 10 (handlers\admin.py, handlers\battle.py, handlers\games.py)
EMOJI: 👥 | HEX: \U0001F465 | NAME: BUSTS IN SILHOUETTE | FILES: 6 (handlers\games.py, handlers\profile.py, handlers\redeem.py)
EMOJI: 👾 | HEX: \U0001F47E | NAME: ALIEN MONSTER | FILES: 2 (handlers\admin.py, handlers\games.py)
EMOJI: 💀 | HEX: \U0001F480 | NAME: SKULL | FILES: 5 (handlers\battle.py, handlers\games.py, handlers\mines.py)
EMOJI: 💎 | HEX: \U0001F48E | NAME: GEM STONE | FILES: 6 (handlers\admin.py, handlers\mines.py, utils\emoji_patch.py)
EMOJI: 💝 | HEX: \U0001F49D | NAME: HEART WITH RIBBON | FILES: 2 (handlers\admin.py, handlers\profile.py)
EMOJI: 💟 | HEX: \U0001F49F | NAME: HEART DECORATION | FILES: 1 (handlers\profile.py)
EMOJI: 💡 | HEX: \U0001F4A1 | NAME: ELECTRIC LIGHT BULB | FILES: 4 (handlers\admin.py, handlers\catch.py, handlers\games.py)
EMOJI: 💣 | HEX: \U0001F4A3 | NAME: BOMB | FILES: 3 (handlers\games.py, handlers\mines.py, utils\emoji_patch.py)
EMOJI: 💥 | HEX: \U0001F4A5 | NAME: COLLISION SYMBOL | FILES: 9 (handlers\admin.py, handlers\battle.py, handlers\catch.py)
EMOJI: 💧 | HEX: \U0001F4A7 | NAME: DROPLET | FILES: 1 (handlers\games.py)
EMOJI: 💨 | HEX: \U0001F4A8 | NAME: DASH SYMBOL | FILES: 1 (handlers\battle.py)
EMOJI: 💫 | HEX: \U0001F4AB | NAME: DIZZY SYMBOL | FILES: 1 (utils\streak.py)
EMOJI: 💬 | HEX: \U0001F4AC | NAME: SPEECH BALLOON | FILES: 3 (handlers\games.py, handlers\start.py, utils\emoji_patch.py)
EMOJI: 💭 | HEX: \U0001F4AD | NAME: THOUGHT BALLOON | FILES: 2 (handlers\games.py, utils\emoji_patch.py)
EMOJI: 💰 | HEX: \U0001F4B0 | NAME: MONEY BAG | FILES: 12 (handlers\admin.py, handlers\battle.py, handlers\games.py)
EMOJI: 💳 | HEX: \U0001F4B3 | NAME: CREDIT CARD | FILES: 4 (handlers\games.py, handlers\redeem.py, handlers\shop.py)
EMOJI: 💸 | HEX: \U0001F4B8 | NAME: MONEY WITH WINGS | FILES: 4 (handlers\mines.py, handlers\trade.py, utils\emoji_patch.py)
EMOJI: 💼 | HEX: \U0001F4BC | NAME: BRIEFCASE | FILES: 1 (services\economy.py)
EMOJI: 💾 | HEX: \U0001F4BE | NAME: FLOPPY DISK | FILES: 2 (handlers\admin.py, handlers\start.py)
EMOJI: 📅 | HEX: \U0001F4C5 | NAME: CALENDAR | FILES: 2 (handlers\games.py, services\economy.py)
EMOJI: 📈 | HEX: \U0001F4C8 | NAME: CHART WITH UPWARDS TREND | FILES: 5 (handlers\admin.py, handlers\mines.py, handlers\start.py)
EMOJI: 📊 | HEX: \U0001F4CA | NAME: BAR CHART | FILES: 3 (handlers\admin.py, handlers\profile.py, handlers\start.py)
EMOJI: 📋 | HEX: \U0001F4CB | NAME: CLIPBOARD | FILES: 3 (handlers\admin.py, handlers\battle.py, handlers\start.py)
EMOJI: 📌 | HEX: \U0001F4CC | NAME: PUSHPIN | FILES: 1 (handlers\admin.py)
EMOJI: 📐 | HEX: \U0001F4D0 | NAME: TRIANGULAR RULER | FILES: 1 (handlers\admin.py)
EMOJI: 📖 | HEX: \U0001F4D6 | NAME: OPEN BOOK | FILES: 4 (handlers\catch.py, handlers\profile.py, handlers\start.py)
EMOJI: 📛 | HEX: \U0001F4DB | NAME: NAME BADGE | FILES: 1 (handlers\admin.py)
EMOJI: 📜 | HEX: \U0001F4DC | NAME: SCROLL | FILES: 1 (handlers\battle.py)
EMOJI: 📝 | HEX: \U0001F4DD | NAME: MEMO | FILES: 1 (handlers\battle.py)
EMOJI: 📡 | HEX: \U0001F4E1 | NAME: SATELLITE ANTENNA | FILES: 2 (handlers\admin.py, handlers\start.py)
EMOJI: 📢 | HEX: \U0001F4E2 | NAME: PUBLIC ADDRESS LOUDSPEAKER | FILES: 3 (handlers\admin.py, utils\emoji_patch.py, utils\membership.py)
EMOJI: 📣 | HEX: \U0001F4E3 | NAME: CHEERING MEGAPHONE | FILES: 2 (handlers\admin.py, handlers\profile.py)
EMOJI: 📤 | HEX: \U0001F4E4 | NAME: OUTBOX TRAY | FILES: 1 (handlers\start.py)
EMOJI: 📥 | HEX: \U0001F4E5 | NAME: INBOX TRAY | FILES: 2 (handlers\admin.py, handlers\battle.py)
EMOJI: 📦 | HEX: \U0001F4E6 | NAME: PACKAGE | FILES: 2 (utils\emoji_patch.py, services\quest_system.py)
EMOJI: 📷 | HEX: \U0001F4F7 | NAME: CAMERA | FILES: 1 (handlers\start.py)
EMOJI: 📸 | HEX: \U0001F4F8 | NAME: CAMERA WITH FLASH | FILES: 2 (handlers\admin.py, handlers\profile.py)
EMOJI: 📺 | HEX: \U0001F4FA | NAME: TELEVISION | FILES: 4 (handlers\admin.py, handlers\profile.py, utils\emoji_patch.py)
EMOJI: 🔀 | HEX: \U0001F500 | NAME: TWISTED RIGHTWARDS ARROWS | FILES: 2 (handlers\games.py, utils\emoji_patch.py)
EMOJI: 🔄 | HEX: \U0001F504 | NAME: ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS | FILES: 3 (handlers\games.py, handlers\trade.py, utils\membership.py)
EMOJI: 🔍 | HEX: \U0001F50D | NAME: LEFT-POINTING MAGNIFYING GLASS | FILES: 3 (handlers\games.py, handlers\profile.py, services\spawn_service.py)
EMOJI: 🔔 | HEX: \U0001F514 | NAME: BELL | FILES: 1 (handlers\start.py)
EMOJI: 🔗 | HEX: \U0001F517 | NAME: LINK SYMBOL | FILES: 2 (handlers\games.py, handlers\mines.py)
EMOJI: 🔙 | HEX: \U0001F519 | NAME: BACK WITH LEFTWARDS ARROW ABOVE | FILES: 5 (handlers\games.py, handlers\profile.py, handlers\shop.py)
EMOJI: 🔥 | HEX: \U0001F525 | NAME: FIRE | FILES: 7 (handlers\catch.py, handlers\games.py, handlers\profile.py)
EMOJI: 🔮 | HEX: \U0001F52E | NAME: CRYSTAL BALL | FILES: 4 (handlers\admin.py, handlers\profile.py, utils\emoji_patch.py)
EMOJI: 🔴 | HEX: \U0001F534 | NAME: LARGE RED CIRCLE | FILES: 7 (handlers\admin.py, handlers\battle.py, handlers\games.py)
EMOJI: 🔵 | HEX: \U0001F535 | NAME: LARGE BLUE CIRCLE | FILES: 5 (handlers\games.py, handlers\profile.py, handlers\start.py)
EMOJI: 🖼 | HEX: \U0001F5BC | NAME: FRAME WITH PICTURE | FILES: 5 (handlers\admin.py, handlers\games.py, handlers\start.py)
EMOJI: 🗳 | HEX: \U0001F5F3 | NAME: BALLOT BOX WITH BALLOT | FILES: 1 (handlers\shop.py)
EMOJI: 😀 | HEX: \U0001F600 | NAME: GRINNING FACE | FILES: 1 (handlers\admin.py)
EMOJI: 🚫 | HEX: \U0001F6AB | NAME: NO ENTRY SIGN | FILES: 3 (handlers\admin.py, handlers\games.py, utils\membership.py)
EMOJI: 🛍 | HEX: \U0001F6CD | NAME: SHOPPING BAGS | FILES: 1 (services\economy.py)
EMOJI: 🛑 | HEX: \U0001F6D1 | NAME: OCTAGONAL SIGN | FILES: 2 (handlers\games.py, handlers\mines.py)
EMOJI: 🛒 | HEX: \U0001F6D2 | NAME: SHOPPING TROLLEY | FILES: 2 (handlers\shop.py, utils\emoji_patch.py)
EMOJI: 🛠 | HEX: \U0001F6E0 | NAME: HAMMER AND WRENCH | FILES: 1 (handlers\start.py)
EMOJI: 🛡 | HEX: \U0001F6E1 | NAME: SHIELD | FILES: 3 (handlers\admin.py, handlers\start.py, utils\formatters.py)
EMOJI: 🟡 | HEX: \U0001F7E1 | NAME: LARGE YELLOW CIRCLE | FILES: 6 (handlers\battle.py, handlers\games.py, handlers\start.py)
EMOJI: 🟢 | HEX: \U0001F7E2 | NAME: LARGE GREEN CIRCLE | FILES: 9 (handlers\admin.py, handlers\battle.py, handlers\games.py)
EMOJI: 🟣 | HEX: \U0001F7E3 | NAME: LARGE PURPLE CIRCLE | FILES: 4 (handlers\profile.py, handlers\start.py, utils\emoji_patch.py)
EMOJI: 🤖 | HEX: \U0001F916 | NAME: ROBOT FACE | FILES: 1 (handlers\games.py)
EMOJI: 🤝 | HEX: \U0001F91D | NAME: HANDSHAKE | FILES: 3 (handlers\games.py, handlers\trade.py, handlers\xo.py)
EMOJI: 🤬 | HEX: \U0001F92C | NAME: SERIOUS FACE WITH SYMBOLS COVERING MOUTH | FILES: 1 (utils\group_monitor.py)
EMOJI: 🥇 | HEX: \U0001F947 | NAME: FIRST PLACE MEDAL | FILES: 3 (handlers\games.py, handlers\profile.py, utils\emoji_patch.py)
EMOJI: 🥈 | HEX: \U0001F948 | NAME: SECOND PLACE MEDAL | FILES: 3 (handlers\games.py, handlers\profile.py, utils\emoji_patch.py)
EMOJI: 🥉 | HEX: \U0001F949 | NAME: THIRD PLACE MEDAL | FILES: 3 (handlers\games.py, handlers\profile.py, utils\emoji_patch.py)
EMOJI: 🦧 | HEX: \U0001F9A7 | NAME: ORANGUTAN | FILES: 1 (handlers\profile.py)
EMOJI: 🧠 | HEX: \U0001F9E0 | NAME: BRAIN | FILES: 2 (handlers\games.py, utils\emoji_patch.py)
EMOJI: 🧬 | HEX: \U0001F9EC | NAME: DNA DOUBLE HELIX | FILES: 2 (handlers\profile.py, utils\emoji_patch.py)
EMOJI: 🧿 | HEX: \U0001F9FF | NAME: NAZAR AMULET | FILES: 1 (utils\formatters.py)
EMOJI: 🪙 | HEX: \U0001FA99 | NAME: COIN | FILES: 5 (handlers\battle.py, handlers\games.py, utils\emoji_patch.py)
